gp_code,gp_name,dist_to_coast_km,dist_to_water_km
185444,SHIRASHNE,141.81,44.54
185399,KHANDAJ,151.03,36.35
185412,MALAD,155.83,31.0
185435,PAVANEWADI,152.18,34.46
185443,SHIRAVALI,148.16,38.82
185439,SANGAVI,145.4,41.42
185392,KAMBLESHVAR,143.21,43.49
185378,DHUMALWADI,146.22,40.05
185434,PAWAIMAL,146.67,39.37
185431,PANDARE,146.43,39.53
185447,SONAKASWADI,147.92,36.89
185413,MALEGAON BK.,150.59,35.55
185414,MALEGAON KH.,152.62,33.31
,,156.89,29.3
185419,MEDAD,155.4,29.38
185369,BHARHANPUR,153.86,29.82
185367,ANJANGAON,151.05,29.01
185396,KARHAVAGAJ,149.62,32.98
272754,BHILLARWADI,145.73,32.96
185387,JALGAON,145.8,30.82
185388,JALGAON SUPE,147.67,28.0
,,141.68,29.54
185441,SAYABACHIWADI,141.33,33.08
185376,DHAKALE,144.41,37.4
185406,KORHALE BK,140.11,42.58
185423,MUDHALE,139.57,37.45
185454,VADGAON NI.,136.67,42.47
259676,SASTEWADI,132.68,44.8
185373,CHOPADAJ,133.59,40.95
185430,PALSHIWADI,134.08,37.29
185410,LONIBHAPKAR,137.78,33.08
185418,MASALWADI,134.19,34.86
185451,TARDOLI,133.83,32.75
185368,BABURDI,137.28,28.32
185398,KALKHAIREWADI,135.81,27.07
185370,BHONDVEWADI,133.69,26.36
185408,KUTAVALWADI,133.67,24.52
185455,VADHANE,134.61,21.51
185449,SUPE,137.95,22.17
185374,DANDAWADI,142.01,19.41
185426,NAROLI,144.0,20.49
185432,PANSAREWADI,140.38,23.83
185402,KARAHATI,143.16,26.04
185375,DEULAGAON RASAL,147.29,23.66
185401,KHARKHEL,150.08,21.6
185445,SONVDISUPE,151.54,25.16
185452,UNDAWADI K.P.,155.53,25.02
185390,JARADWADI,155.72,22.43
185438,SABLEWADI,156.32,18.31
185453,UNTWADI SUPE,153.41,21.37
261742,KHARADEWADI,151.88,19.45
185639,JIREGAON,155.03,13.85
185643,KAUTHADI,157.38,13.97
185692,VASUNDE,150.83,17.17
185404,KOLOLI,145.84,20.74
185638,HINGANIWADI,147.85,15.83
185671,PATAS,147.75,8.76
185679,ROTI,149.66,12.3
185668,PANDHAREWADI,152.47,12.28
185653,KURKUMBHA,156.35,9.77
185635,GOPALWADI,157.98,4.97
185634,GIRIM,154.67,7.17
185682,SONWADI,158.15,1.62
185664,NANVIJ,156.46,1.65
185633,GAR,153.59,2.61
,,151.37,6.12
185691,VARVAND,144.17,8.34
185654,KUSEGAON,144.49,14.71
185667,PADAVI,140.5,17.14
185630,DEULGAON GADA,138.45,15.48
185690,VAKHARI,136.28,14.0
185622,BORIPARTHI,140.28,10.26
185644,KEDGAON,137.29,10.06
185651,KHUTBAV,133.81,8.9
185617,BHANDGAON,131.91,14.17
185694,YAVAT,128.47,12.92
185642,KASURDI,124.22,14.83
185618,BHARATGAON,123.13,17.89
186435,MALSHIRAS,124.29,21.39
186452,PONDHE,128.93,17.75
185649,KHOR,133.07,18.91
186458,PISE,130.48,23.35
186462,RAJURI,127.61,23.52
186465,RISE,129.18,25.05
185366,AMBI KH.,128.52,28.85
185371,CHANDGUDEWADI,131.61,29.18
185422,MORAGON,130.12,33.31
185365,AMBI BK.,127.48,32.35
186420,JAVALAJUN,124.38,32.83
185391,JOGAWADI,126.09,36.6
